Waktu,Bx,By,Bz,B
7,38625.98,-409.956,-21407.1,44163.31425
7.5,38636.34,-445.525,-21399.1,44168.84357
8,38644.8,-406.25,-21389.2,44171.07065
8.5,38646.92,-300.778,-21383.2,44169.1763
9,38656.88,-209.857,-21375,44173.39738
9.5,38675.48,-139.231,-21361,44182.62622
10,38671.22,45.0733,-21360.8,44178.60415
10.5,38675.6,143.9664,-21359.1,44181.82788
11,38670.01,255.3484,-21362.4,44179.0336
11.5,38672.86,313.1668,-21361.6,44181.51343
12,38675.91,376.474,-21360,44183.90371
12.5,38671.97,432.5465,-21363.4,44182.61219
13,38663.33,464.0287,-21369,44178.07794
13.5,38660.1,484.3686,-21372.7,44177.25942
14,38652.39,535.0396,-21376.5,44172.93597
14.5,38640.35,571.3986,-21383,44166.00314
15,38628.68,593.6214,-21390.9,44159.9129
15.5,38618.84,549.7652,-21398.6,44154.46893
16,38621.78,465.1349,-21399,44156.26164
16.5,38622.77,369.2816,-21403,44158.16052
17,38626.03,281.5468,-21405.2,44161.43169
17.5,38622.97,219.3937,-21409.4,44160.43878
18,38620.97,169.9386,-21410.1,44158.81095
18.5,38615.78,177.4726,-21411.8,44155.12587
19,38613.53,180.4335,-21413.1,44153.80059
19.5,38617.36,142.7445,-21411.8,44156.38174
20,38613.43,128.0272,-21413.8,44153.86957
20.5,38609.17,118.4891,-21415.4,44150.89359
21,38608.12,98.88522,-21415.4,44149.92713
21.5,38611.58,91.41913,-21412.7,44151.62725
22,38611.61,68.4256,-21412.8,44151.66036
22.5,38610.11,55.01707,-21413.2,44150.52384
23,38609.47,47.75175,-21413.8,44150.24671
23.5,38611.75,41.72173,-21412.1,44151.41
0,38611.83,29.45722,-21411.5,44151.1791
0.5,38612.64,16.03418,-21410.5,44151.39562
1,38616.45,13.2282,-21407.7,44153.36912
1.5,38612.06,-1.73503,-21411,44151.12797
2,38607.03,-10.263,-21414.2,44148.28233
2.5,38603.79,-23.6834,-21415.6,44146.13331
3,38602.79,-21.7074,-21414.9,44144.91827
3.5,38608.1,-49.7594,-21411.2,44147.78983
4,38611.16,-42.5011,-21408.8,44149.29445
4.5,38613.53,-51.1218,-21407.9,44150.93991
5,38617.73,-53.5036,-21406.7,44154.03422
5.5,38616.44,21.18743,-21408.1,44153.55742
6,38615.19,17.80943,-21414.4,44155.5177
6.5,38617.07,-68.1688,-21418.9,44159.39333
